thresholds,male,female
thr_1,15.664177354418642,43.83864027191528
thr_2,36.65876705603422,56.336720328941354
thr_3,72.38819435775486,82.13031706685486
thr_4,104.33375398543787,102.48854596692918
thr_5,133.3337113793374,111.5631920636401
